Path,Transcript,goldStandard
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_ZtswbSGXVeetSumC3jZp_1743456209_195798580_sentence_segment_close.wav",k...it Kit ran fast to c...a...tch catch the ball too,Kit ran fast to catch the ball too.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_ZtswbSGXVeetSumC3jZp_1743456209_195798581_sentence_segment_close.wav",They l|ahh:|uh|g|h|ed laughed and played under n: it doesn't sound right until until.til the sun s|ah:|n|k sæŋk low,They laughed and played until the sun sank low.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_ZtswbSGXVeetSumC3jZp_1743456209_195798582_sentence_segment_close.wav",What fun they all said,"""What fun!"" they all said."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_FUCVnaPJeyV5kzao6jmObtdzLUE2_sid_VP8ZqGQAw050ePA4KqWb_1742904863_195798583_sentence_segment_close.wav",Peter was the fastest runner in his class,Peter was the fastest runner in his class.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_FUCVnaPJeyV5kzao6jmObtdzLUE2_sid_VP8ZqGQAw050ePA4KqWb_1742904863_195798584_sentence_segment_close.wav",Every day after school he raced with his friends,"Every day after school, he raced with his friends."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_FUCVnaPJeyV5kzao6jmObtdzLUE2_sid_VP8ZqGQAw050ePA4KqWb_1742904863_195798585_sentence_segment_close.wav",They cheered as he got faster each time turn,They cheered as he got faster at each turn.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_FUCVnaPJeyV5kzao6jmObtdzLUE2_sid_VP8ZqGQAw050ePA4KqWb_1742904863_195798586_sentence_segment_close.wav",In a what mom canyu (can you) just turn this off I dunno what's going on,"In a test of speed, he raced against the tallest kids."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_FUCVnaPJeyV5kzao6jmObtdzLUE2_sid_VP8ZqGQAw050ePA4KqWb_1742904863_195798587_sentence_segment_close.wav",They cheered as he got faster at each turn,They cheered as he got faster at each turn.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_FUCVnaPJeyV5kzao6jmObtdzLUE2_sid_VP8ZqGQAw050ePA4KqWb_1742904863_195798588_sentence_segment_close.wav",In a test of speed he raced əɡɛns the tɔlɪs kid,"In a test of speed, he raced against the tallest kids."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_FUCVnaPJeyV5kzao6jmObtdzLUE2_sid_VP8ZqGQAw050ePA4KqWb_1742904863_195798589_sentence_segment_close.wav",Peter tried his best and came out ahead,Peter tried his best and came out ahead.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_FUCVnaPJeyV5kzao6jmObtdzLUE2_sid_VP8ZqGQAw050ePA4KqWb_1742904863_195798590_sentence_segment_close.wav",he His friends shouted You're the fæstɪs Peter,"His friends shouted, ""You're the fastest, Peter!"""
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_FUCVnaPJeyV5kzao6jmObtdzLUE2_sid_VP8ZqGQAw050ePA4KqWb_1742904863_195798591_sentence_segment_close.wav",Feeling proud Peter grinned and said I will train e.every even harder to be the fastest no & runner ever the fastest it says (issays) ɡɹ.ɡɹeɪtɪst runner ever,"Feeling proud, Peter grinned and said, ""I will train even harder to be the greatest runner ever!"""
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_FUCVnaPJeyV5kzao6jmObtdzLUE2_sid_VP8ZqGQAw050ePA4KqWb_1742904863_195798592_sentence_segment_close.wav",That as sun set Peter headed home dreaming because  the best runner sʌm|deɪ,"That evening, as the sun set, Peter headed home, dreaming of becoming the best athlete someday."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_THJAu4lbjHRa32ysgvSU3Etlb0d2_sid_p7OiDOqVvL4ONZUx2IeK_1742425632_195798593_sentence_segment_close.wav",a vast sunny land Sam the brave horse ɹ.æn ran wɪf a pan,"In a vast, sunny land, Sam the brave horse ran with a pan."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_THJAu4lbjHRa32ysgvSU3Etlb0d2_sid_p7OiDOqVvL4ONZUx2IeK_1742425632_195798594_sentence_segment_close.wav",He was tan ʃ.ʃtɹɔŋ and  s|u|ɪ|f|t swift l|aɪ|k like a sound it out that's a 'f' f|l|æ|ʃ flash,"He was tan, strong, and swift like a flash."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_THJAu4lbjHRa32ysgvSU3Etlb0d2_sid_p7OiDOqVvL4ONZUx2IeK_1742425632_195798595_sentence_segment_close.wav",One day he found a lost lamb,"One day, he found a lost lamb."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_THJAu4lbjHRa32ysgvSU3Etlb0d2_sid_p7OiDOqVvL4ONZUx2IeK_1742425632_195798596_sentence_segment_close.wav",oh|m:|meh|woo|eh short I ih w|i|sh w|ɪ|θ: With a so this is two syllables sound this one out g remember it's followed by e it's gonna spell je juh|n june dʒ|ɛ:n gen this syllable spells tle gentle t:æp tap he h|el|p|d helpd helped the lamb əm b|æ|k back up oh check this word h|ah h|uh long o oh|m home,"With a gentle tap, he helped the lamb back home."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_THJAu4lbjHRa32ysgvSU3Etlb0d2_sid_p7OiDOqVvL4ONZUx2IeK_1742425632_195798597_sentence_segment_close.wav",oh-double-u Now yup ow good Now Sam and the lamb are close friends well look at it it doesn't say friends p|ælz pals,"Now, Sam and the lamb are close pals."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_uJ59YClhDZUuJsN0vsDR1GRv6pu1_sid_3rjs7JkT5laydQme92To_1741230422_195798598_sentence_segment_close.wav",Clay and Sarah loved swinging at the park,Clay and Sarah loved swinging at the park.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_uJ59YClhDZUuJsN0vsDR1GRv6pu1_sid_3rjs7JkT5laydQme92To_1741230422_195798599_sentence_segment_close.wav",Clay was singing his favorite song while Sarah was swinging higher and higher,Clay was singing his favorite song while Sarah was swinging higher and higher.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_uJ59YClhDZUuJsN0vsDR1GRv6pu1_sid_3rjs7JkT5laydQme92To_1741230422_195798600_sentence_segment_close.wav",They wɜ smaɪli and laughing feeling the wind rushing against them,"They were smiling and laughing, feeling the wind rushing against them."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_uJ59YClhDZUuJsN0vsDR1GRv6pu1_sid_3rjs7JkT5laydQme92To_1741230422_195798601_sentence_segment_close.wav",Suddenly it started to rain bringing an ʌnɪkspɛk|tɪd drizzle,"Suddenly, it started to rain, bringing an unexpected drizzle."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_uJ59YClhDZUuJsN0vsDR1GRv6pu1_sid_3rjs7JkT5laydQme92To_1741230422_195798602_sentence_segment_close.wav",They decided to run back home giggling as they got wet,"They decided to run back home, giggling as they got wet."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_uJ59YClhDZUuJsN0vsDR1GRv6pu1_sid_3rjs7JkT5laydQme92To_1741230422_195798603_sentence_segment_close.wav",Once home they sæp by the window s:.sɪpɪŋ hot cocoa watching the rain falling,"Once home, they sat by the window, sipping hot cocoa, watching the rain falling."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_uJ59YClhDZUuJsN0vsDR1GRv6pu1_sid_3rjs7JkT5laydQme92To_1741230422_195798604_sentence_segment_close.wav",The cozy warm warmth w inside was comforting,The cozy warmth inside was comforting.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_uJ59YClhDZUuJsN0vsDR1GRv6pu1_sid_3rjs7JkT5laydQme92To_1741230422_195798605_sentence_segment_close.wav",As the rain stopped a rainbow was shining outside,"As the rain stopped, a rainbow was shining outside."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_uJ59YClhDZUuJsN0vsDR1GRv6pu1_sid_3rjs7JkT5laydQme92To_1741230422_195798606_sentence_segment_close.wav",Clay and Sarah looked at each other knowing tomorrow would be another day for more adventures,"Clay and Sarah looked at each other, knowing tomorrow would be another day for more adventures."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_THJAu4lbjHRa32ysgvSU3Etlb0d2_sid_aKReQ5zqSuEu7cmAruHn_1743033103_195798607_sentence_segment_close.wav",Zed the dragon zooms over the hill,Zed the dragon zooms over the hill.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_THJAu4lbjHRa32ysgvSU3Etlb0d2_sid_aKReQ5zqSuEu7cmAruHn_1743033103_195798608_sentence_segment_close.wav",He finds a cozy cave and lands,He spots a cozy cave and lands.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_THJAu4lbjHRa32ysgvSU3Etlb0d2_sid_aKReQ5zqSuEu7cmAruHn_1743033103_195798609_sentence_segment_close.wav",ɪn|side the ca:ve was a I forget that part this is a long e hi: f|i|n|d|s finds a puzzling maze,"Inside, he finds a puzzling maze."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_THJAu4lbjHRa32ysgvSU3Etlb0d2_sid_aKReQ5zqSuEu7cmAruHn_1743033103_195798610_sentence_segment_close.wav",Zed s:|z:|zi|p|si|z|i|p|zips  it's a shwa a a: a:round sharp turns his heart fizzing with excitement,"Zed zips around sharp turns, his heart fizzing with excitement."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_HGLxgWVfJZWhAsqMf761d40h3eQ2_sid_tSrnapQ6hgyliWaApJ36_1743467290_195798613_sentence_segment_close.wav",Ollie the owl can ɡ.l.aɪ.d glide in the night,Ollie the owl can glide in the night.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_HGLxgWVfJZWhAsqMf761d40h3eQ2_sid_tSrnapQ6hgyliWaApJ36_1743467290_195798614_sentence_segment_close.wav","He Spies s.p.i.e.s a bɹ. yes you can sound it out  bə. ʌ. aɪ. mmm! you got it  that sound taɹget: bɹight, pɹoduced: ng.guh -> ŋ.gʌ  ɪt bourget switch it so you  see one sec you read that one i'll leave that out can glide in the night try that one he spies he spies",He spies a bright site by the pine.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_HGLxgWVfJZWhAsqMf761d40h3eQ2_sid_tSrnapQ6hgyliWaApJ36_1743467290_195798615_sentence_segment_close.wav",He spies a bwaɪt mhm site by the pint: p|ai what's the whole word pint pine pine,He spies a bright site by the pine.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_HGLxgWVfJZWhAsqMf761d40h3eQ2_sid_tSrnapQ6hgyliWaApJ36_1743467290_195798616_sentence_segment_close.wav",Ollie dwiv div dwiv ə long I I can't do it daɪvz dives and ə l:|lændz on a white l|ɑi|n,Ollie dives and lands on the white line.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_HGLxgWVfJZWhAsqMf761d40h3eQ2_sid_tSrnapQ6hgyliWaApJ36_1743467290_195798617_sentence_segment_close.wav",hey (a produced breathily at the beginning) I A little mwuh.m|ah I don't know that mouse mouse sound it out h.hides: hides behind a vine,A little mouse hides behind a vine.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_HGLxgWVfJZWhAsqMf761d40h3eQ2_sid_tSrnapQ6hgyliWaApJ36_1743467290_195798618_sentence_segment_close.wav",what's the name again Ollie Ollie finds sound it out f|l|y fly: flies back to his tree f|i|l|ɪŋ f|aɪn as he stares s.sh.s.s|t|ai|r|t straight start start to ʃ:|a:ɪ|n m|ai|r|k|in time,"Ollie flies back to his tree, feeling fine, as the stars start to shine, marking time."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_I9JIDKsVbN5Sjmsyg1ln_1742933350_195798619_sentence_segment_close.wav",Once upon a time there was a brave moaids named Bree,"Once upon a time, there was a brave mermaid named Bree."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_I9JIDKsVbN5Sjmsyg1ln_1742933350_195798620_sentence_segment_close.wav",bwi loved to explore deeth it the sea wɛ she ʃwæm wɪf glee,"Bree loved to explore beneath the sea, where she swam with glee."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_I9JIDKsVbN5Sjmsyg1ln_1742933350_195798621_sentence_segment_close.wav",One day she found a cave hidden  bɪhə a lɑdʒ soʊn wee:f:,"One day, she found a cave hidden behind a large stone reef."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_I9JIDKsVbN5Sjmsyg1ln_1742933350_195798622_sentence_segment_close.wav",ɪn.saɪd the light of the sun made the cave ɡlɪm,"Inside, the light of the sun made the cave gleam."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_I9JIDKsVbN5Sjmsyg1ln_1742933350_195798623_sentence_segment_close.wav",bwi smiled fʌlɪŋ safe ant: it at ease,"Bree smiled, feeling safe and at ease."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_I9JIDKsVbN5Sjmsyg1ln_1742933350_195798624_sentence_segment_close.wav",She m.mɛt a fish name Steve,She met a fish named Steve.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_I9JIDKsVbN5Sjmsyg1ln_1742933350_195798625_sentence_segment_close.wav",Steve shared tʌlz of hidden dʒɛ:mz and waɪs seals,Steve shared tales of hidden gems and wise seals.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_I9JIDKsVbN5Sjmsyg1ln_1742933350_195798626_sentence_segment_close.wav",Bree and Steve became fwiends fæs fwiends fast fwɛndz and became to meet at a the cave each ,Bree and Steve became fast friends and decided to meet at the cave each week.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_I9JIDKsVbN5Sjmsyg1ln_1742933350_195798627_sentence_segment_close.wav",təɡɛvəɹ they dreamed of ɡweɪt ævɛntʃəɹz beyond the sea,"Together, they dreamed of great adventures beyond the sea."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_RMEYcjWuQJRINI73hdlEKDjPREw2_sid_dpvscQzXHmVYLvi0LDkc_1741134211_195798628_sentence_segment_close.wav",Max the Puppy|Dog ,"Max the PupDog, Pam the cat, and a unicorn ran to mom."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_RMEYcjWuQJRINI73hdlEKDjPREw2_sid_1VgvJXZB45xk11mYvRbT_1741133876_195798629_sentence_segment_close.wav",d...a...d dad has a plan,Dan had a plan.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_RMEYcjWuQJRINI73hdlEKDjPREw2_sid_1VgvJXZB45xk11mYvRbT_1741133876_195798630_sentence_segment_close.wav",He was a map a ran  ran to the  tan hut hat,He saw a map and ran to the tan hut.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_RMEYcjWuQJRINI73hdlEKDjPREw2_sid_1VgvJXZB45xk11mYvRbT_1741133876_195798631_sentence_segment_close.wav",At the hut hat a cat s...a sat on the  mat,"At the hut, a cat sat on a mat."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_RMEYcjWuQJRINI73hdlEKDjPREw2_sid_1VgvJXZB45xk11mYvRbT_1741133876_195798632_sentence_segment_close.wav",Dad gave the cat a p...at pat,Dan gave the cat a pat.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_RMEYcjWuQJRINI73hdlEKDjPREw2_sid_1VgvJXZB45xk11mYvRbT_1741133876_195798633_sentence_segment_close.wav",The cat wed wɛd its tent,The cat wagged its tail.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_RMEYcjWuQJRINI73hdlEKDjPREw2_sid_1VgvJXZB45xk11mYvRbT_1741133876_195798634_sentence_segment_close.wav",dad told a n|a|p nap ah under the /b|ig/ big tr|ee tree where the koʊl b|ez buzz mad him f.fulair,Dan took a nap under the big tree where the cool breeze made him feel free.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_RMEYcjWuQJRINI73hdlEKDjPREw2_sid_1VgvJXZB45xk11mYvRbT_1741133876_195798635_sentence_segment_close.wav",Morn c|cam kæm b|and dad had had pack with a happy  glad for the dad and the fr|i|nd|z friend's start,"Morn came, and Dan headed back with a happy heart, glad for the day and the friend's start."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_flpss45kNMRJ1OyjEiJaPFx5rCo2_sid_87GmGKiM3e8FJdv1vF3b_1743380663_195798636_sentence_segment_close.wav",Once upon a time in a sunny town there were two best friends name lucky and Lucy and Drew,"Once upon a time, in a sunny town, there were two best friends named Lucy and Drew."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_flpss45kNMRJ1OyjEiJaPFx5rCo2_sid_87GmGKiM3e8FJdv1vF3b_1743380663_195798637_sentence_segment_close.wav",Lucy love gymnastics and could do flips and loops,Lucy loved gymnastics and could do flips and loops.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_flpss45kNMRJ1OyjEiJaPFx5rCo2_sid_87GmGKiM3e8FJdv1vF3b_1743380663_195798638_sentence_segment_close.wav",Drew was a soccer fan who kicked the ball with əm wɪð great skill,Drew was a soccer fan who kicked the ball with great skill.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_flpss45kNMRJ1OyjEiJaPFx5rCo2_sid_87GmGKiM3e8FJdv1vF3b_1743380663_195798639_sentence_segment_close.wav",One afternoon Lucy watch Drew play soccer,"One afternoon, Lucy watched Drew play soccer."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_flpss45kNMRJ1OyjEiJaPFx5rCo2_sid_87GmGKiM3e8FJdv1vF3b_1743380663_195798640_sentence_segment_close.wav",She thought How can I use my gymnastics moves in soccer,"She thought, ""How can I use my gymnastics moves in soccer?"""
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_flpss45kNMRJ1OyjEiJaPFx5rCo2_sid_87GmGKiM3e8FJdv1vF3b_1743380663_195798641_sentence_segment_close.wav",Drew saw ʌm Lucy's interest and said Let's try sʌmtɪŋ new,"Drew saw Lucy's interest and said, ""Let's try something new!"""
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_flpss45kNMRJ1OyjEiJaPFx5rCo2_sid_87GmGKiM3e8FJdv1vF3b_1743380663_195798642_sentence_segment_close.wav",The nɛks day they went to the field,"The next day, they went to the field."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_flpss45kNMRJ1OyjEiJaPFx5rCo2_sid_87GmGKiM3e8FJdv1vF3b_1743380663_195798643_sentence_segment_close.wav",lucky practice ʌm Lucy practice flip ʌm flipping and then kick the soccer ball,Lucy practiced flipping and then kicked the soccer ball.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_flpss45kNMRJ1OyjEiJaPFx5rCo2_sid_87GmGKiM3e8FJdv1vF3b_1743380663_195798644_sentence_segment_close.wav",It flew through the air and Drew was amazed,"It flew through the air, and Drew was amazed."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_flpss45kNMRJ1OyjEiJaPFx5rCo2_sid_87GmGKiM3e8FJdv1vF3b_1743380663_195798645_sentence_segment_close.wav",That was so cool he shouted,"""That's so cool!"" he shouted."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_flpss45kNMRJ1OyjEiJaPFx5rCo2_sid_87GmGKiM3e8FJdv1vF3b_1743380663_195798646_sentence_segment_close.wav",Drew tried to dribble the ball quickly moving like a gymnast,"Drew tried to dribble the ball quickly, moving like a gymnast."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_flpss45kNMRJ1OyjEiJaPFx5rCo2_sid_87GmGKiM3e8FJdv1vF3b_1743380663_195798647_sentence_segment_close.wav",Together they created a new game GymSoccer,"Together, they created a new game: GymSoccer."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_flpss45kNMRJ1OyjEiJaPFx5rCo2_sid_87GmGKiM3e8FJdv1vF3b_1743380663_195798648_sentence_segment_close.wav",Their friends joined too,"Their friends joined, too."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_flpss45kNMRJ1OyjEiJaPFx5rCo2_sid_87GmGKiM3e8FJdv1vF3b_1743380663_195798649_sentence_segment_close.wav",They pwactice after school and soon had a team,They practiced after school and soon had a team.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_flpss45kNMRJ1OyjEiJaPFx5rCo2_sid_87GmGKiM3e8FJdv1vF3b_1743380663_195798650_sentence_segment_close.wav",They name ðɛmsɛlfs the Blue Crew,"They named themselves the ""Blue Crew."""
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_flpss45kNMRJ1OyjEiJaPFx5rCo2_sid_87GmGKiM3e8FJdv1vF3b_1743380663_195798651_sentence_segment_close.wav",The Blue Crew use gymnastics and soccer to create amazing moves and tricks,The Blue Crew used gymnastics and soccer to create amazing moves and tricks.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_flpss45kNMRJ1OyjEiJaPFx5rCo2_sid_87GmGKiM3e8FJdv1vF3b_1743380663_195798652_sentence_segment_close.wav",At the s talent show Blue Crew ʌm performed,"At the school talent show, the Blue Crew performed."
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_flpss45kNMRJ1OyjEiJaPFx5rCo2_sid_87GmGKiM3e8FJdv1vF3b_1743380663_195798653_sentence_segment_close.wav",At The In The crowds cheered and clapped,The crowd cheered and clapped.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_flpss45kNMRJ1OyjEiJaPFx5rCo2_sid_87GmGKiM3e8FJdv1vF3b_1743380663_195798654_sentence_segment_close.wav",Everyone loved the unique blend of gymnastics and soccer,Everyone loved the unique blend of gymnastics and soccer.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_flpss45kNMRJ1OyjEiJaPFx5rCo2_sid_87GmGKiM3e8FJdv1vF3b_1743380663_195798655_sentence_segment_close.wav",Lucy and Drew were proud,Lucy and Drew were proud.
"/home/michaelbennie/OneDrive/Leite,Walter's files - Storiza Corpus Spring 2025/Processed_Utterances/annotated_sentence_segments/uid_flpss45kNMRJ1OyjEiJaPFx5rCo2_sid_87GmGKiM3e8FJdv1vF3b_1743380663_195798656_sentence_segment_close.wav",They knew that ʌm trying sʌmtɪŋ new together was the bɛs move of all,They knew that trying something new together was the best move of all.
